user_id,order_id,time,description,product_id,product_name,amount,price
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTTCHE1H224AK1,Chelsea coffee table sofa_H224,13.0,2600.0
SSI31SSI,XBH011609/033,2016-09-20,Xuất bán T9/033- 007- ngày ETD 24/9/2016 -LSX 19,LTTSOU1H270AK1,Southampton coffee table_H270,14.0,2800.0
SSI31SSI,XBH011609/034,2016-09-20,Xuất bán T9/034- 001- ngày ETD 24/9/2016 -LSX 19,LTCKIN1H224AC1,King Chair_H224,2.0,0.0
SSI31SSI,XBH011609/034,2016-09-20,Xuất bán T9/034- 001- ngày ETD 24/9/2016 -LSX 19,LTSOBA2H270SK1,Obama Sofa 2 Seater_H270,27.0,2160.0
SSI31SSI,XBH011609/034,2016-09-20,Xuất bán T9/034- 001- ngày ETD 24/9/2016 -LSX 19,LTSOBA3H270SK1,Obama Sofa 3 Seater_H270,27.0,2430.0
SSI31SSI,XBH011609/034,2016-09-20,Xuất bán T9/034- 001- ngày ETD 24/9/2016 -LSX 19,LTTOBA1H270SK1,Obama Table_H270,27.0,3645.0
CON45CON,XHM011609/005,2016-09-16,"Xuất mẫu LSX 79  sang Khách Hàng Đan Mạch theo phiếu yêu cầu xuất xưởng ngày 16/9/2016.(Lê Trần chịu tiền mẫu,KH chịu tiền VC)",LTCBIR2F310S1WI,New Birkemose Chair_F310_DAN,10.0,0.0
CON45CON,XHM011609/005,2016-09-16,"Xuất mẫu LSX 79  sang Khách Hàng Đan Mạch theo phiếu yêu cầu xuất xưởng ngày 16/9/2016.(Lê Trần chịu tiền mẫu,KH chịu tiền VC)",LTCBIR2F314S1WI,New Birkemose Chair_F314_DAN,6.0,0.0
CON45CON,XHM011609/005,2016-09-16,"Xuất mẫu LSX 79  sang Khách Hàng Đan Mạch theo phiếu yêu cầu xuất xưởng ngày 16/9/2016.(Lê Trần chịu tiền mẫu,KH chịu tiền VC)",LTCBOR1F314S1WI,New Bork Chair_F314_DAN,6.0,0.0
LIK48JYS,XBH011609/032,2016-09-16,Xuất bán T09/32- LTINV6948 - LSX2016/ 35,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011609/031,2016-09-16,Xuất bán T09/31- LTINV6947 - LSX2016/ 35,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011609/027,2016-09-16,Xuất bán T09/27- LTINV1616 - LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/030,2016-09-16,Xuất bán T09/30- LTINV1633 - LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/029,2016-09-16,Xuất bán T09/29- LTINV1632 - LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/028,2016-09-16,Xuất bán T09/28- LTINV1631 - LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK46JYS,XBH011609/026,2016-09-15,Xuất bán T09/26- LTINV3108  - LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK46JYS,XBH011609/024,2016-09-15,Xuất bán T09/24- LTINV3106  - LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK46JYS,XBH011609/025,2016-09-15,Xuất bán T09/25- LTINV3107  - LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK46JYS,XBH011609/021,2016-09-14,Xuất bán T09/21- LTINV3109 - LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK48JYS,XBH011609/023,2016-09-14,Xuất bán T09/23- LTINV6943  - LSX2016/ 35,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK48JYS,XBH011609/022,2016-09-14,Xuất bán T09/22- LTINV1630 - LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK45JYS,XBH011609/019,2016-09-13,Xuất bán T09/19 - LTINV3094 -LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/020,2016-09-13,Xuất bán T09/20- LTINV3083 -LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
MXL421MXL,XBH011609/018,2016-09-12,Xuất bán T09/18 - 00IRC -LSX2016/ 36,LTCGAR1H374SK1,Gartengarnitur Chair_H374,288.0,9120.96
MXL421MXL,XBH011609/018,2016-09-12,Xuất bán T09/18 - 00IRC -LSX2016/ 36,LTTGARH374SK1,Gartengarnitur Table_H374,72.0,4559.04
OBI852OBI,XHM011609/004,2016-09-12,Xuất mẫu đi test lần 2 theo phiếu yêu cầu xuất xưởng ngày 12/9/2016\,LTSAM00228WI,Mẫu ARS Table,1.0,0.0
OBI852OBI,XHM011609/004,2016-09-12,Xuất mẫu đi test lần 2 theo phiếu yêu cầu xuất xưởng ngày 12/9/2016\,VTGLR111001,Kính trong 360x1110x5mm,1.0,0.0
MXL421MXL,XBH011609/017,2016-09-12,Xuất bán T09/17 - 00IRC -LSX2016/ 36,LTCGAR1H374SK1,Gartengarnitur Chair_H374,288.0,9120.96
MXL421MXL,XBH011609/017,2016-09-12,Xuất bán T09/17 - 00IRC -LSX2016/ 36,LTTGARH374SK1,Gartengarnitur Table_H374,72.0,4559.04
LIK49BET,XBH011609/010,2016-09-10,Xuất bán T09/10 - 4511045686/30 -LSX2016/ 48,LTCCAV1F310AP1,Cavallino Chair_AL_F310,720.0,10080.0
LIK49BET,XBH011609/009,2016-09-10,Xuất bán T09/09 - 4511045686/20 -LSX2016/ 48,LTCCAV1F310AP1,Cavallino Chair_AL_F310,720.0,10080.0
LIK48JYS,XBH011609/015,2016-09-10,Xuất bán T09/15 - LTINV1613 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/014,2016-09-10,Xuất bán T09/14 - LTINV1612 -LSX2016/ 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
