Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,12.00,849.60,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,12.00,849.60,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,6.00,244.50,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,2.00,96.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,7.00,518.00,,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,12.00,849.60,,,,,,,,,,,,
,,,,Xuất bán T12/111 - GRUGAIM-GAIMERSHEIM NEWMŨM- MŨNSTER - LSX 42 Total,,,343.00,"11,382.10",,,,,,,,,,,,
,XBH011612/112,,12/31/16 0:00,Xuất bán T12/112 - HAINKIR-KIRCHLENGERN - LSX 42,LTCDIA1F268SCA1,Diana Chair_F268,40.00,"1,156.00",,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,80.00,"3,280.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,56.00,"1,243.20",,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,5.00,203.75,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,5.00,203.75,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,5.00,203.75,,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,60.00,966.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,20.00,310.00,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,5.00,203.75,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,15.00,720.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,10.00,740.00,,,,,,,,,,,,
,,,,Xuất bán T12/112 - HAINKIR-KIRCHLENGERN - LSX 42 Total,,,301.00,"9,230.20",,,,,,,,,,,,
,XBH011612/113,,12/31/16 0:00,Xuất bán T12/113 - BRAUOFFE- OFENBURG2- LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,6.00,480.00,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,9.00,366.75,,,,,,,,,,,,
,,,,,LTCJAPMF268SC1,Japan Sofa Middle_F268,9.00,366.75,,,,,,,,,,,,
,,,,,LTCJAPRF268SC1,Japan Sofa Right_F268,9.00,366.75,,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTTDIN11160ACK1,Dinning Sofa Set_Table_F1160,6.00,354.00,,,,,,,,,,,,
,,,,,LTTJAP1F268SC1,Japan Sofa Table_F268,9.00,366.75,,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,6.00,354.00,,,,,,,,,,,,
,,,,Xuất bán T12/113 - BRAUOFFE- OFENBURG2- LSX 42 Total,,,78.00,"4,071.00",,,,,,,,,,,,
,XBH011612/114,,12/31/16 0:00,Xuất bán T12/114 - RUTLUBLUBLJANA2 - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,14.00,"1,120.00",,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,20.00,820.00,,,,,,,,,,,,
,,,,,LTCJAPLF268SC1,Japan Sofa Left_F268,34.00,"1,385.50",,,,,,,,,,,,
